"state","state_abb","category","indicator","period","period_meaningful","denominator","numerator","performance","national_standard","status","state_rank","reporting_states","data_used","as_of_date","profile_version","source","indicator_sort","indicator_short","indicator_very_short","description","denominator_def","numerator_def","direction_rule","direction_desired","direction_legend","decimal_precision","scale","format","risk_adjustment","exclusions","notes"
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 12-23 months","24A24B","Oct '23 - Sep '24",1834,677,0.369,43.8,"worse",,,"24A-24B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 12-23 months","24B25A","Apr '24 - Mar '25",1779,706,0.397,43.8,"worse",,,"24B-25A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 24 months or more","22A22B","Oct '21 - Sep '22",2768,1099,0.397,37.3,"better",,,"22A-22B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 24 months or more","22B23A","Apr '22 - Mar '23",2778,1106,0.398,37.3,"better",,,"22B-23A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 24 months or more","23A23B","Oct '22 - Sep '23",2519,974,0.387,37.3,"nodiff",,,"23A-23B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 24 months or more","23B24A","Apr '23 - Mar '24",2306,929,0.403,37.3,"better",,,"23B-24A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 24 months or more","24A24B","Oct '23 - Sep '24",2349,1020,0.434,37.3,"better",,,"24A-24B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 24 months or more","24B25A","Apr '24 - Mar '25",2230,965,0.433,37.3,"better",,,"24B-25A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",6,"Perm in 12 months (24 months or more)","Perm in 12 (24+ mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 24 months or more and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 24 months or more.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who re‑enter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Reentry to foster care within 12 months","21A21B","Oct '20 - Sep '21",3413,259,0.076,5.6,"worse",,,"21A-22B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",7,"Reentry to foster care within 12 months","Reentry","Percent of children who exit foster care in a 12-month period to permanency and who reenter foster care within 12 months of discharge.","Number of children who discharge from foster care during a 12-month period to permanency.","Number of children in the denominator who reenter foster care within 12 months of their discharge to permanency.","lt","down","A lower value is more desirable. ",1,100,"percent","State; age at exit","Children whose first episode discharge lacks a discharge reason; records where the reentry removal date is before the prior discharge date; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","If a child has multiple reentries within 12 months, only the first reentry is counted."
"Kentucky","KY","Permanency","Reentry to foster care within 12 months","21B22A","Apr '21 - Mar '22",3500,224,0.064,5.6,"worse",,,"21B-23A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",7,"Reentry to foster care within 12 months","Reentry","Percent of children who exit foster care in a 12-month period to permanency and who reenter foster care within 12 months of discharge.","Number of children who discharge from foster care during a 12-month period to permanency.","Number of children in the denominator who reenter foster care within 12 months of their discharge to permanency.","lt","down","A lower value is more desirable. ",1,100,"percent","State; age at exit","Children whose first episode discharge lacks a discharge reason; records where the reentry removal date is before the prior discharge date; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","If a child has multiple reentries within 12 months, only the first reentry is counted."
"Kentucky","KY","Permanency","Reentry to foster care within 12 months","22A22B","Oct '21 - Sep '22",,,,5.6,"dq",,,"22A-23B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",7,"Reentry to foster care within 12 months","Reentry","Percent of children who exit foster care in a 12-month period to permanency and who reenter foster care within 12 months of discharge.","Number of children who discharge from foster care during a 12-month period to permanency.","Number of children in the denominator who reenter foster care within 12 months of their discharge to permanency.","lt","down","A lower value is more desirable. ",1,100,"percent","State; age at exit","Children whose first episode discharge lacks a discharge reason; records where the reentry removal date is before the prior discharge date; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","If a child has multiple reentries within 12 months, only the first reentry is counted."
"Kentucky","KY","Permanency","Reentry to foster care within 12 months","22B23A","Apr '22 - Mar '23",,,,5.6,"dq",,,"22B-24A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",7,"Reentry to foster care within 12 months","Reentry","Percent of children who exit foster care in a 12-month period to permanency and who reenter foster care within 12 months of discharge.","Number of children who discharge from foster care during a 12-month period to permanency.","Number of children in the denominator who reenter foster care within 12 months of their discharge to permanency.","lt","down","A lower value is more desirable. ",1,100,"percent","State; age at exit","Children whose first episode discharge lacks a discharge reason; records where the reentry removal date is before the prior discharge date; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","If a child has multiple reentries within 12 months, only the first reentry is counted."
"Kentucky","KY","Permanency","Reentry to foster care within 12 months","23A23B","Oct '22 - Sep '23",,,,5.6,"dq",,,"23A-24B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",7,"Reentry to foster care within 12 months","Reentry","Percent of children who exit foster care in a 12-month period to permanency and who reenter foster care within 12 months of discharge.","Number of children who discharge from foster care during a 12-month period to permanency.","Number of children in the denominator who reenter foster care within 12 months of their discharge to permanency.","lt","down","A lower value is more desirable. ",1,100,"percent","State; age at exit","Children whose first episode discharge lacks a discharge reason; records where the reentry removal date is before the prior discharge date; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","If a child has multiple reentries within 12 months, only the first reentry is counted."
"Kentucky","KY","Permanency","Reentry to foster care within 12 months","23B24A","Apr '23 - Mar '24",,,,5.6,"dq",,,"2 3 B - 2 5 A 2 3 B - 2 5 A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",7,"Reentry to foster care within 12 months","Reentry","Percent of children who exit foster care in a 12-month period to permanency and who reenter foster care within 12 months of discharge.","Number of children who discharge from foster care during a 12-month period to permanency.","Number of children in the denominator who reenter foster care within 12 months of their discharge to permanency.","lt","down","A lower value is more desirable. ",1,100,"percent","State; age at exit","Children whose first episode discharge lacks a discharge reason; records where the reentry removal date is before the prior discharge date; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","If a child has multiple reentries within 12 months, only the first reentry is counted."
"Kentucky","KY","Well-Being","Placement stability (moves / 1,000 days in care)","22A22B","Oct '21 - Sep '22",683032,3392,4.97,4.48,"nodiff",,,"22A-22B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",8,"Placement stability","Placement stability","Number of placement moves per 1,000 days of foster care among children who enter care during a 12-month period.","Total number of days in foster care for children who enter care in the 12-month period (as of the end of the period).","For children who enter care during the 12-month period, the number of placement moves during that period (initial removal into foster care is not counted as a move).","lt","down","A lower value is more desirable. ",2,1000,"rate","State; age at entry","Children in foster care <8 days; days in care where placement information cannot be determined.","When discharge date is missing in the first 6-month file but present as 'date of prior discharge' in the next file, that date is used to calculate length of stay."
"Kentucky","KY","Well-Being","Placement stability (moves / 1,000 days in care)","22B23A","Apr '22 - Mar '23",667420,3103,4.65,4.48,"better",,,"22B-23A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",8,"Placement stability","Placement stability","Number of placement moves per 1,000 days of foster care among children who enter care during a 12-month period.","Total number of days in foster care for children who enter care in the 12-month period (as of the end of the period).","For children who enter care during the 12-month period, the number of placement moves during that period (initial removal into foster care is not counted as a move).","lt","down","A lower value is more desirable. ",2,1000,"rate","State; age at entry","Children in foster care <8 days; days in care where placement information cannot be determined.","When discharge date is missing in the first 6-month file but present as 'date of prior discharge' in the next file, that date is used to calculate length of stay."
"Kentucky","KY","Well-Being","Placement stability (moves / 1,000 days in care)","23A23B","Oct '22 - Sep '23",666930,3313,4.97,4.48,"nodiff",,,"23A-23B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",8,"Placement stability","Placement stability","Number of placement moves per 1,000 days of foster care among children who enter care during a 12-month period.","Total number of days in foster care for children who enter care in the 12-month period (as of the end of the period).","For children who enter care during the 12-month period, the number of placement moves during that period (initial removal into foster care is not counted as a move).","lt","down","A lower value is more desirable. ",2,1000,"rate","State; age at entry","Children in foster care <8 days; days in care where placement information cannot be determined.","When discharge date is missing in the first 6-month file but present as 'date of prior discharge' in the next file, that date is used to calculate length of stay."
"Kentucky","KY","Well-Being","Placement stability (moves / 1,000 days in care)","23B24A","Apr '23 - Mar '24",609010,2912,4.78,4.48,"better",,,"23B-24A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",8,"Placement stability","Placement stability","Number of placement moves per 1,000 days of foster care among children who enter care during a 12-month period.","Total number of days in foster care for children who enter care in the 12-month period (as of the end of the period).","For children who enter care during the 12-month period, the number of placement moves during that period (initial removal into foster care is not counted as a move).","lt","down","A lower value is more desirable. ",2,1000,"rate","State; age at entry","Children in foster care <8 days; days in care where placement information cannot be determined.","When discharge date is missing in the first 6-month file but present as 'date of prior discharge' in the next file, that date is used to calculate length of stay."
"Kentucky","KY","Well-Being","Placement stability (moves / 1,000 days in care)","24A24B","Oct '23 - Sep '24",629125,2927,4.65,4.48,"better",,,"24A-24B",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",8,"Placement stability","Placement stability","Number of placement moves per 1,000 days of foster care among children who enter care during a 12-month period.","Total number of days in foster care for children who enter care in the 12-month period (as of the end of the period).","For children who enter care during the 12-month period, the number of placement moves during that period (initial removal into foster care is not counted as a move).","lt","down","A lower value is more desirable. ",2,1000,"rate","State; age at entry","Children in foster care <8 days; days in care where placement information cannot be determined.","When discharge date is missing in the first 6-month file but present as 'date of prior discharge' in the next file, that date is used to calculate length of stay."
"Kentucky","KY","Well-Being","Placement stability (moves / 1,000 days in care)","24B25A","Apr '24 - Mar '25",749111,3001,4.01,4.48,"better",,,"24B-25A",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",8,"Placement stability","Placement stability","Number of placement moves per 1,000 days of foster care among children who enter care during a 12-month period.","Total number of days in foster care for children who enter care in the 12-month period (as of the end of the period).","For children who enter care during the 12-month period, the number of placement moves during that period (initial removal into foster care is not counted as a move).","lt","down","A lower value is more desirable. ",2,1000,"rate","State; age at entry","Children in foster care <8 days; days in care where placement information cannot be determined.","When discharge date is missing in the first 6-month file but present as 'date of prior discharge' in the next file, that date is used to calculate length of stay."
"Kentucky","KY","Safety","Maltreatment in care (victimizations / 100,000 days in care)","21AB_FY21","Oct '20 - Sep '21, FY21",3073622,425,13.83,9.07,"worse",,,"21A-21B, FY21-22",2025-08-15,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",1,"Maltreatment in foster care","Maltreatment in care","Number of victimizations per 100,000 days of care among children in foster care during a 12-month period.","Total number of days in foster care for children who were in care during the 12-month period (as of the end of the period).","Number of substantiated or indicated maltreatment reports (by any perpetrator) occurring during a foster care episode within the 12-month period.","lt","down","A lower value is more desirable. ",2,100000,"rate","State; age at entry (for children entering) or age on first day of the 12-month period (for children already in care)","Complete episodes lasting <8 days (neither days nor maltreatment counted); maltreatment reported within the first 7 days of removal; reports with incident date outside the foster care episode (when incident date exists); reports with report date outside the 12-month period; subsequent maltreatment reports occurring within 1 day of the initial report.","Cases matched across AFCARS and NCANDS using AFCARS ID; report date determines inclusion in the 12-month window; incident dates used (when present) to check if victimization occurred outside the episode; special handling of prior discharge date to calculate length of stay when missing in first file; two years of NCANDS used to ensure the report falls in the 12-month period."
